treatment,plant,sample_num,bg_num_red
Control,Brocolli,13,10
Control,Mustard,14,11
Control,Arabidopsis,12,9
Control+Pb,Brocolli,59,48
Control+Pb,Mustard,26,20
Control+Pb,Mustard,60,56
Control+Pb,Arabidopsis,27,21
Control+Pb,Arabidopsis,65,65
Control-SA,Brocolli,82,74
Control-SA,Mustard,81,73
Control-SA,Arabidopsis,80,72
Pb+SA,Brocolli,41,35
Pb+SA,Mustard,40,36
Pb+SA,Arabidopsis,39,34
Control-Pen,Brocolli,85,77
Control-Pen,Mustard,84,76
Control-Pen,Arabidopsis,83,75
Pb+Pen,Brocolli,43,38
Pb+Pen,Mustard,64,52
Pb+Pen,Arabidopsis,42,37
Pb+Suc,Brocolli,62,58
Pb+Suc,Mustard,63,51
Pb+Suc,Arabidopsis,65,53